clinical_drug_form	disposition
DRON:00022807	DRON:00000035
DRON:00022808	DRON:00000035
DRON:00022810	DRON:00000035
DRON:00022811	DRON:00000035
DRON:00022842	DRON:00000034
DRON:00022855	DRON:00000034
DRON:00022856	DRON:00000034
DRON:00022874	DRON:00000035
DRON:00022875	DRON:00000035
DRON:00022876	DRON:00000035
DRON:00022877	DRON:00000035
DRON:00022878	DRON:00000035
DRON:00022879	DRON:00000035
DRON:00022891	DRON:00000034
DRON:00022935	DRON:00000034
DRON:00022941	DRON:00000034
DRON:00022951	DRON:00000035
DRON:00022966	DRON:00000035
DRON:00023009	DRON:00000035
DRON:00023010	DRON:00000035
DRON:00023036	DRON:00000034
DRON:00023037	DRON:00000034
DRON:00023038	DRON:00000034
DRON:00023080	DRON:00000034
DRON:00023122	DRON:00000034
DRON:00023123	DRON:00000034
DRON:00023124	DRON:00000034
DRON:00023125	DRON:00000034
DRON:00023188	DRON:00000035
DRON:00023189	DRON:00000035
DRON:00023190	DRON:00000035
DRON:00023191	DRON:00000035
DRON:00023192	DRON:00000035
DRON:00023193	DRON:00000035
DRON:00023194	DRON:00000035
DRON:00023195	DRON:00000035
DRON:00023196	DRON:00000034
DRON:00023197	DRON:00000034
DRON:00023198	DRON:00000034
DRON:00023199	DRON:00000034
DRON:00023200	DRON:00000034
DRON:00023201	DRON:00000034
DRON:00023202	DRON:00000034
DRON:00023203	DRON:00000034
DRON:00023221	DRON:00000035
DRON:00023222	DRON:00000035
DRON:00023223	DRON:00000035
DRON:00023224	DRON:00000035
DRON:00023249	DRON:00000033
DRON:00023260	DRON:00000034
DRON:00023261	DRON:00000034
DRON:00023266	DRON:00000033
DRON:00023267	DRON:00000033
DRON:00023268	DRON:00000033
DRON:00023269	DRON:00000033
DRON:00023270	DRON:00000033
DRON:00023271	DRON:00000033
DRON:00023272	DRON:00000033
DRON:00023273	DRON:00000033
DRON:00023277	DRON:00000034
DRON:00023278	DRON:00000034
DRON:00023288	DRON:00000034
DRON:00023289	DRON:00000034
DRON:00023290	DRON:00000034
DRON:00023292	DRON:00000034
DRON:00023293	DRON:00000034
DRON:00023295	DRON:00000034
DRON:00023427	DRON:00000034
DRON:00023433	DRON:00000034
DRON:00023434	DRON:00000034
DRON:00023435	DRON:00000034
DRON:00023436	DRON:00000034
DRON:00023456	DRON:00000035
DRON:00023467	DRON:00000033
DRON:00023508	DRON:00000034
DRON:00023515	DRON:00000034
DRON:00023516	DRON:00000034
DRON:00023602	DRON:00000034
DRON:00023603	DRON:00000034
DRON:00023616	DRON:00000034
DRON:00023617	DRON:00000034
DRON:00023634	DRON:00000034
DRON:00023635	DRON:00000035
DRON:00023636	DRON:00000035
DRON:00023637	DRON:00000035
DRON:00023638	DRON:00000035
DRON:00023639	DRON:00000035
DRON:00023640	DRON:00000035
DRON:00023640	DRON:00000035
DRON:00023642	DRON:00000034
DRON:00023643	DRON:00000034
DRON:00023644	DRON:00000034
DRON:00023657	DRON:00000034
DRON:00023658	DRON:00000034
DRON:00023659	DRON:00000034
DRON:00023660	DRON:00000034
DRON:00023661	DRON:00000034
DRON:00023664	DRON:00000034
DRON:00023736	DRON:00000034
DRON:00023737	DRON:00000034
DRON:00023746	DRON:00000034
DRON:00023747	DRON:00000034
DRON:00023823	DRON:00000034
DRON:00023849	DRON:00000033
DRON:00023851	DRON:00000034
DRON:00023858	DRON:00000034
DRON:00023863	DRON:00000034
DRON:00024005	DRON:00000035
DRON:00024013	DRON:00000034
DRON:00024050	DRON:00000035
DRON:00024077	DRON:00000035
DRON:00024078	DRON:00000035
DRON:00024081	DRON:00000034
DRON:00024082	DRON:00000035
DRON:00024083	DRON:00000035
DRON:00024084	DRON:00000035
DRON:00024088	DRON:00000035
DRON:00024095	DRON:00000035
DRON:00024120	DRON:00000035
DRON:00024137	DRON:00000035
DRON:00024138	DRON:00000035
DRON:00024140	DRON:00000035
DRON:00024141	DRON:00000035
DRON:00024168	DRON:00000035
DRON:00024170	DRON:00000035
DRON:00024171	DRON:00000035
DRON:00024173	DRON:00000035
DRON:00024183	DRON:00000035
DRON:00024186	DRON:00000035
DRON:00024198	DRON:00000035
DRON:00024205	DRON:00000035
DRON:00024271	DRON:00000034
DRON:00024274	DRON:00000034
DRON:00024294	DRON:00000033
DRON:00024337	DRON:00000034
DRON:00024400	DRON:00000035
DRON:00024538	DRON:00000034
DRON:00024604	DRON:00000035
DRON:00024679	DRON:00000035
DRON:00024679	DRON:00000035
DRON:00024683	DRON:00000035
DRON:00024743	DRON:00000035
DRON:00024746	DRON:00000035
DRON:00024761	DRON:00000035
DRON:00024773	DRON:00000034
DRON:00024776	DRON:00000035
DRON:00024814	DRON:00000034
DRON:00024815	DRON:00000034
DRON:00024840	DRON:00000035
DRON:00024868	DRON:00000035
DRON:00024869	DRON:00000035
DRON:00024892	DRON:00000034
DRON:00024896	DRON:00000035
DRON:00024924	DRON:00000034
DRON:00024979	DRON:00000035
DRON:00025019	DRON:00000035
DRON:00025020	DRON:00000035
DRON:00025021	DRON:00000035
DRON:00025022	DRON:00000035
DRON:00025023	DRON:00000035
DRON:00025024	DRON:00000035
DRON:00025025	DRON:00000035
DRON:00025026	DRON:00000035
DRON:00025027	DRON:00000035
DRON:00025028	DRON:00000035
DRON:00025029	DRON:00000035
DRON:00025030	DRON:00000035
DRON:00025031	DRON:00000035
DRON:00025032	DRON:00000035
DRON:00025033	DRON:00000035
DRON:00025034	DRON:00000035
DRON:00025035	DRON:00000035
DRON:00025043	DRON:00000035
DRON:00025044	DRON:00000035
DRON:00025053	DRON:00000035
DRON:00025054	DRON:00000035
DRON:00025055	DRON:00000035
DRON:00025056	DRON:00000035
DRON:00025071	DRON:00000035
DRON:00025090	DRON:00000034
DRON:00025091	DRON:00000035
DRON:00025112	DRON:00000035
DRON:00025113	DRON:00000035
DRON:00025125	DRON:00000035
DRON:00025143	DRON:00000034
DRON:00025148	DRON:00000034
DRON:00025155	DRON:00000034
DRON:00025157	DRON:00000034
DRON:00025183	DRON:00000035
DRON:00025185	DRON:00000034
DRON:00025196	DRON:00000035
DRON:00025206	DRON:00000034
DRON:00025247	DRON:00000034
DRON:00025292	DRON:00000035
DRON:00025294	DRON:00000035
DRON:00025473	DRON:00000035
DRON:00025579	DRON:00000033
DRON:00025602	DRON:00000034
DRON:00025611	DRON:00000034
DRON:00025621	DRON:00000034
DRON:00025757	DRON:00000034
DRON:00025759	DRON:00000034
DRON:00025764	DRON:00000034
DRON:00025811	DRON:00000034
DRON:00025835	DRON:00000034
DRON:00025976	DRON:00000035
DRON:00026050	DRON:00000035
DRON:00026052	DRON:00000035
DRON:00026615	DRON:00000035
DRON:00026616	DRON:00000035
DRON:00026617	DRON:00000035
DRON:00026620	DRON:00000035
DRON:00026629	DRON:00000034
DRON:00026653	DRON:00000033
DRON:00026658	DRON:00000035
DRON:00026676	DRON:00000035
DRON:00026682	DRON:00000034
DRON:00026687	DRON:00000034
DRON:00026693	DRON:00000034
DRON:00026696	DRON:00000033
DRON:00026711	DRON:00000035
DRON:00026724	DRON:00000035
DRON:00026728	DRON:00000035
DRON:00026826	DRON:00000035
DRON:00026829	DRON:00000035
DRON:00026865	DRON:00000034
DRON:00026868	DRON:00000034
DRON:00026873	DRON:00000034
DRON:00026912	DRON:00000035
DRON:00026923	DRON:00000034
DRON:00026929	DRON:00000034
DRON:00026947	DRON:00000035
DRON:00026968	DRON:00000035
DRON:00026969	DRON:00000035
DRON:00026989	DRON:00000035
DRON:00027056	DRON:00000034
DRON:00027102	DRON:00000034
DRON:00027172	DRON:00000035
DRON:00027201	DRON:00000035
DRON:00027203	DRON:00000035
DRON:00027241	DRON:00000035
DRON:00027246	DRON:00000035
DRON:00027249	DRON:00000035
DRON:00027258	DRON:00000035
DRON:00027291	DRON:00000034
DRON:00027292	DRON:00000034
DRON:00027293	DRON:00000034
DRON:00027294	DRON:00000034
DRON:00027295	DRON:00000034
DRON:00027296	DRON:00000034
DRON:00027311	DRON:00000035
DRON:00027329	DRON:00000035
DRON:00027428	DRON:00000035
DRON:00027449	DRON:00000034
DRON:00027491	DRON:00000035
DRON:00027495	DRON:00000034
DRON:00027627	DRON:00000035
DRON:00027627	DRON:00000035
DRON:00027676	DRON:00000034
DRON:00027680	DRON:00000034
DRON:00027689	DRON:00000034
DRON:00027690	DRON:00000035
DRON:00027727	DRON:00000034
DRON:00027758	DRON:00000034
DRON:00027761	DRON:00000034
DRON:00027777	DRON:00000034
DRON:00027781	DRON:00000034
DRON:00027795	DRON:00000034
DRON:00027799	DRON:00000035
DRON:00027821	DRON:00000034
DRON:00027822	DRON:00000034
DRON:00027831	DRON:00000034
DRON:00027863	DRON:00000035
DRON:00027883	DRON:00000035
DRON:00027941	DRON:00000034
DRON:00027954	DRON:00000035
DRON:00027960	DRON:00000034
DRON:00028028	DRON:00000035
DRON:00028060	DRON:00000033
DRON:00028077	DRON:00000034
DRON:00028078	DRON:00000034
DRON:00028079	DRON:00000034
DRON:00028089	DRON:00000035
DRON:00028161	DRON:00000033
DRON:00028163	DRON:00000034
DRON:00028164	DRON:00000034
DRON:00028201	DRON:00000034
DRON:00028202	DRON:00000034
DRON:00028203	DRON:00000034
DRON:00028204	DRON:00000034
DRON:00028205	DRON:00000035
DRON:00028206	DRON:00000035
DRON:00028208	DRON:00000035
DRON:00028209	DRON:00000035
DRON:00028210	DRON:00000035
DRON:00028211	DRON:00000035
DRON:00028212	DRON:00000035
DRON:00028224	DRON:00000033
DRON:00028229	DRON:00000033
DRON:00028264	DRON:00000033
DRON:00028272	DRON:00000033
DRON:00028273	DRON:00000033
DRON:00028275	DRON:00000034
DRON:00028287	DRON:00000034
DRON:00028288	DRON:00000034
DRON:00028373	DRON:00000035
DRON:00028464	DRON:00000033
DRON:00028465	DRON:00000033
DRON:00028504	DRON:00000035
DRON:00028505	DRON:00000035
DRON:00028506	DRON:00000035
DRON:00028507	DRON:00000035
DRON:00028508	DRON:00000035
DRON:00028509	DRON:00000035
DRON:00028510	DRON:00000035
DRON:00028511	DRON:00000035
DRON:00028512	DRON:00000035
DRON:00028513	DRON:00000035
DRON:00028514	DRON:00000035
DRON:00028515	DRON:00000035
DRON:00028516	DRON:00000035
DRON:00028556	DRON:00000034
DRON:00028557	DRON:00000034
DRON:00028558	DRON:00000034
DRON:00028653	DRON:00000034
DRON:00028654	DRON:00000034
DRON:00028655	DRON:00000034
DRON:00028656	DRON:00000034
DRON:00028657	DRON:00000034
DRON:00028659	DRON:00000035
DRON:00028660	DRON:00000035
DRON:00028661	DRON:00000035
DRON:00028728	DRON:00000033
DRON:00028741	DRON:00000035
DRON:00028743	DRON:00000034
DRON:00028746	DRON:00000034
DRON:00028750	DRON:00000035
DRON:00028837	DRON:00000034
DRON:00028838	DRON:00000034
DRON:00028906	DRON:00000034
DRON:00028939	DRON:00000035
DRON:00028940	DRON:00000035
DRON:00029001	DRON:00000034
DRON:00029002	DRON:00000034
DRON:00029003	DRON:00000034
DRON:00029005	DRON:00000035
DRON:00029007	DRON:00000035
DRON:00029019	DRON:00000035
DRON:00029020	DRON:00000035
DRON:00029021	DRON:00000035
DRON:00029024	DRON:00000035
DRON:00029063	DRON:00000034
DRON:00029066	DRON:00000034
DRON:00029210	DRON:00000034
DRON:00029273	DRON:00000034
DRON:00029315	DRON:00000034
DRON:00029316	DRON:00000034
DRON:00029317	DRON:00000034
DRON:00029323	DRON:00000034
DRON:00029354	DRON:00000035
DRON:00029395	DRON:00000034
DRON:00029396	DRON:00000034
DRON:00029402	DRON:00000034
DRON:00029404	DRON:00000034
DRON:00029405	DRON:00000034
DRON:00029416	DRON:00000034
DRON:00029432	DRON:00000034
DRON:00029490	DRON:00000035
DRON:00029491	DRON:00000035
DRON:00029541	DRON:00000034
DRON:00029562	DRON:00000034
DRON:00029586	DRON:00000034
DRON:00029640	DRON:00000035
DRON:00029648	DRON:00000034
DRON:00029649	DRON:00000034
DRON:00029650	DRON:00000034
DRON:00029708	DRON:00000035
DRON:00029709	DRON:00000035
DRON:00029721	DRON:00000034
DRON:00029722	DRON:00000035
DRON:00029723	DRON:00000034
DRON:00029762	DRON:00000034
DRON:00029771	DRON:00000034
DRON:00029811	DRON:00000034
DRON:00029817	DRON:00000034
DRON:00029820	DRON:00000033
DRON:00030009	DRON:00000034
DRON:00030010	DRON:00000034
DRON:00030011	DRON:00000034
DRON:00030013	DRON:00000034
DRON:00030074	DRON:00000035
DRON:00030075	DRON:00000035
DRON:00030114	DRON:00000035
DRON:00030122	DRON:00000034
DRON:00030123	DRON:00000034
DRON:00030124	DRON:00000034
DRON:00030127	DRON:00000034
DRON:00030128	DRON:00000034
DRON:00030129	DRON:00000034
DRON:00030207	DRON:00000034
DRON:00030208	DRON:00000034
DRON:00030252	DRON:00000034
DRON:00030268	DRON:00000035
DRON:00030337	DRON:00000035
DRON:00030368	DRON:00000035
DRON:00030414	DRON:00000035
DRON:00030445	DRON:00000035
DRON:00030481	DRON:00000035
DRON:00030562	DRON:00000035
DRON:00030576	DRON:00000035
DRON:00030627	DRON:00000035
