ingredient	disposition
CHEBI:7865	DRON:00000039
CHEBI:7915	DRON:00020324
CHEBI:7915	DRON:00698710
CHEBI:7915	DRON:00723855
CHEBI:7936	DRON:00723854
CHEBI:7936	DRON:00723856
CHEBI:7954	DRON:00020323
CHEBI:7982	DRON:00000036
CHEBI:7982	DRON:00000041
CHEBI:8024	DRON:00723853
CHEBI:8028	DRON:00723854
CHEBI:8028	DRON:00723856
CHEBI:8050	DRON:00723856
CHEBI:8064	DRON:00723856
CHEBI:8069	DRON:00723855
CHEBI:8107	DRON:00723855
CHEBI:8214	DRON:00020323
CHEBI:83531	DRON:00723854
CHEBI:83531	DRON:00723855
CHEBI:8412	DRON:00723855
CHEBI:8426	DRON:00698710
CHEBI:8455	DRON:00723855
CHEBI:8461	DRON:00723854
CHEBI:8461	DRON:00723856
CHEBI:8497	DRON:00000037
CHEBI:8497	DRON:00000039
CHEBI:8499	DRON:00020323
CHEBI:8499	DRON:00723855
CHEBI:8499	DRON:00723856
CHEBI:85980	DRON:00000037
CHEBI:85980	DRON:00000038
CHEBI:8713	DRON:00723853
CHEBI:8768	DRON:00020324
CHEBI:8768	DRON:00698710
CHEBI:8768	DRON:00723855
CHEBI:8774	DRON:00723853
CHEBI:8776	DRON:00723854
CHEBI:8802	DRON:00000037
CHEBI:8802	DRON:00000039
CHEBI:8802	DRON:00000041
CHEBI:8871	DRON:00723856
CHEBI:9123	DRON:00723854
CHEBI:9316	DRON:00000037
CHEBI:9434	DRON:00724207
CHEBI:94434	DRON:00020325
CHEBI:9448	DRON:00723854
CHEBI:9566	DRON:00723856
CHEBI:9588	DRON:00698710
CHEBI:9588	DRON:00723854
CHEBI:9637	DRON:00020327
CHEBI:9648	DRON:00000037
CHEBI:9648	DRON:00000039
CHEBI:9648	DRON:00000041
CHEBI:9648	DRON:00723856
CHEBI:9649	DRON:00723853
CHEBI:9741	DRON:00723854
CHEBI:9927	DRON:00724207
CHEBI:9943	DRON:00723856
CHEBI:9948	DRON:00020325
DRON:00015071	DRON:00020323
