rxcui	drugbank
283548	DB09278
283550	DB00097
283567	DB14307
283578	DB15555
283579	DB14375
283674	DB14343
283678	DB09496
283678	DB14198
283739	DB09260
283742	DB00736
283746	DB11626
283753	DB00556
283767	DB14495
283809	DB00287
283810	DB00905
283821	DB00049
283838	DB00012
284153	DB14375
284156	DB10403
285148	DB16538
285156	DB14224
285157	DB14357
285170	DB11033
285208	DB14297
285222	DB14263
285228	DB01322
285279	DB14242
287536	DB11842
287810	DB13503
287850	DB16306
287892	DB00137
288262	DB15467
288324	DB11616
288583	DB08633
288688	DB00063
291204	DB13689
293024	DB15289
297996	DB12072
298151	DB09177
298152	DB05448
298665	DB06802
298869	DB00700
298994	DB12802
299081	DB08823
299539	DB06087
299606	DB01873
299635	DB00092
299956	DB16120
300009	DB05288
300195	DB00300
300511	DB06202
300855	DB05428
301542	DB01098
301739	DB00106
301742	DB12195
301787	DB16476
301891	DB06530
302161	DB12185
302285	DB00872
302307	DB12613
302379	DB00043
302426	DB12633
302490	DB04898
302781	DB12847
302789	DB05820
302996	DB05063
303597	DB12843
304383	DB04915
304421	DB03849
304575	DB16026
304818	DB13033
304962	DB01274
305001	DB00027
306266	DB00442
306326	DB16164
306595	DB11890
306674	DB00862
306718	DB06594
306776	DB05191
306854	DB08502
307296	DB01628
307336	DB15205
314301	DB09430
314302	DB14148
314324	DB10450
314411	DB10935
314415	DB10437
314443	DB10441
314455	DB10609
314488	DB10443
314504	DB11330
314504	DB13151
314508	DB14340
314583	DB00121
314605	DB14233
314621	DB09501
314636	DB03843
314639	DB14550
314647	DB16635
314661	DB14586
314684	DB00046
314688	DB00060
314691	DB15445
314709	DB00129
314718	DB13996
314724	DB13887
314725	DB13888
314743	DB16559
314779	DB11058
314784	DB04824
314797	DB09483
314815	DB11087
314826	DB11132
314832	DB13157
314838	DB09449
314838	DB14502
314845	DB00052
314853	DB11056
314873	DB16573
314875	DB14001
314881	DB11117
314897	DB14181
317176	DB14230
317177	DB09429
317246	DB09409
317262	DB11058
317271	DB14161
317274	DB09543
317586	DB14335
317702	DB14272
317825	DB13195
317836	DB09363
317841	DB14477
317863	DB04982
318224	DB10708
318340	DB13906
318341	DB00002
318344	DB05793
319780	DB10897
319781	DB14320
319781	DB15537
319812	DB14303
319822	DB14349
319826	DB10640
319864	DB00565
319866	DB13732
320414	DB06635
320731	DB04919
320845	DB09066
320847	DB12144
321019	DB04901
321064	DB00275
321187	DB15111
321208	DB00569
321213	DB06260
321490	DB12312
321658	DB12273
321788	DB06370
321828	DB06616
321952	DB00337
321988	DB01175
322007	DB04909
322167	DB01591
322580	DB06249
322751	DB04852
322922	DB06495
322923	DB06495
322933	DB06454
323167	DB05983
323344	DB11591
323495	DB02709
323578	DB01744
324003	DB13910
324072	DB11074
325514	DB11577
325524	DB10532
325526	DB01404
325642	DB00303
325646	DB09026
325741	DB05361
325887	DB01141
325945	DB04903
326031	DB06651
326374	DB06713
327333	DB12818
327361	DB00051
327805	DB11860
327849	DB11872
327965	DB06467
328082	DB06598
328134	DB00317
328141	DB14336
333848	DB00707
337048	DB04915
337068	DB00992
337071	DB05297
337130	DB32139
337200	DB12429
337203	DB12149
337227	DB12254
337523	DB04845
337525	DB00530
337530	DB05116
337539	DB01380
337552	DB06436
337623	DB00003
337718	DB07425
338036	DB00019
338637	DB05592
338817	DB00103
339187	DB05819
339557	DB12466
339566	DB06393
339782	DB05343
339840	DB04872
340705	DB09126
341018	DB00362
341197	DB04926
341198	DB16010
341199	DB06155
341248	DB00973
341254	DB16201
341255	DB05801
341288	DB05465
341375	DB16689
341394	DB04883
341500	DB05143
342358	DB16215
342359	DB16245
342369	DB00480
342754	DB05317
342965	DB06776
343047	DB01072
343048	DB00374
349730	DB01914
349753	DB09449
349762	DB14233
349908	DB06724
349978	DB10704
350141	DB10447
350173	DB10688
350202	DB16539
350374	DB06756
350520	DB14375
350731	DB01592
352372	DB06701
352374	DB00055
352385	DB01306
352487	DB00201
353064	DB03904
353106	DB00055
353110	DB06692
353497	DB09351
354240	DB05559
354249	DB06157
354305	DB12726
354606	DB11403
354770	DB00108
354962	DB06747
355094	DB12590
355200	DB17805
355500	DB05405
356153	DB05821
356686	DB12193
356732	DB16148
356777	DB04960
356879	DB15645
356887	DB06282
356988	DB00095
357022	DB15405
357969	DB16013
357977	DB01268
358092	DB05396
358241	DB04960
358255	DB00673
358257	DB06212
358258	DB00188
358262	DB01319
358263	DB00820
358274	DB06403
358327	DB01283
359063	DB04899
360262	DB16596
360777	DB14650
382166	DB01223
383002	DB17579
383198	DB05413
383208	DB00316
383747	DB15161
383769	DB12022
383830	DB04862
384040	DB11762
384210	DB12443
384386	DB06685
384393	DB06474
384455	DB00560
386921	DB01577
386938	DB00066
386992	DB00023
388084	DB00044
388333	DB00078
390041	DB17092
392509	DB00090
394407	DB11829
396800	DB16026
397719	DB00776
397896	DB06218
398048	DB12316
398383	DB17475
398389	DB14877
398563	DB13067
398768	DB16014
398792	DB06477
399151	DB15051
399863	DB03206
400008	DB01309
400050	DB04873
400142	DB06550
400558	DB06236
400565	DB00981
401594	DB06419
401630	DB05442
401713	DB06775
402316	DB00419
402528	DB14741
402580	DB13992
402586	DB18738
402899	DB14476
403182	DB05289
403245	DB06486
403288	DB12068
403320	DB12302
403350	DB06162
403360	DB05550
403524	DB05101
403534	DB05457
403580	DB06592
403590	DB05420
403624	DB08870
403669	DB04882
403695	DB12677
403702	DB06371
404774	DB11003
404918	DB04657
405416	DB13952
405419	DB13116
407885	DB00852
407990	DB01012
408081	DB09161
435657	DB14745
436163	DB14372
436257	DB14316
446248	DB13384
451876	DB00004
457703	DB12988
457757	DB06581
457812	DB06406
458567	DB12962
458900	DB06585
459097	DB06366
459136	DB05305
459601	DB16425
459604	DB08639
459640	DB05449
459920	DB05966
460129	DB12094
460132	DB01264
461016	DB00402
461018	DB04973
465953	DB13904
466192	DB10425
466195	DB10428
466197	DB10430
466198	DB10865
466349	DB11639
466393	DB11631
466527	DB11627
466977	DB09327
467015	DB00030
469777	DB09121
469932	DB06710
470685	DB04327
470749	DB06281
470785	DB05424
470982	DB13020
471233	DB17300
471252	DB06400
471314	DB05969
471452	DB06493
471548	DB05407
471556	DB11999
471712	DB00396
472018	DB08937
472085	DB16287
472133	DB05814
472215	DB06358
472365	DB05013
472417	DB06652
473097	DB06231
473203	DB12055
473387	DB06215
473837	DB06402
473936	DB16291
474095	DB05476
474125	DB01458
474128	DB01265
474545	DB12671
475230	DB06699
475342	DB01254
475576	DB06680
475672	DB12592
475708	DB06721
475968	DB06655
475969	DB06414
476717	DB10788
476795	DB11286
476818	DB11189
477189	DB14360
477379	DB14237
477531	DB14238
477631	DB00237
479949	DB05549
480167	DB01259
480418	DB12558
480639	DB06274
480850	DB12614
480865	DB05010
481096	DB12354
481209	DB05463
481780	DB05864
482604	DB16205
484156	DB11628
484348	DB09539
485408	DB14301
485576	DB11621
485853	DB15889
485858	DB14275
485878	DB13962
485953	DB15107
485983	DB14315
486120	DB14491
486164	DB00070
486610	DB01229
486750	DB09462
486778	DB13749
486961	DB14523
487252	DB14744
491498	DB11059
491835	DB15081
491915	DB06082
491920	DB15015
491943	DB06656
491946	DB00097
492370	DB04106
492705	DB12349
492883	DB15443
493186	DB14613
493353	DB16908
493572	DB14920
493593	DB05800
493748	DB11669
493864	DB13166
494418	DB12761
494599	DB16183
494983	DB12442
495293	DB04958
495454	DB12420
495639	DB04874
495881	DB00398
496145	DB06769
496348	DB05097
496624	DB11965
496948	DB03604
496986	DB06619
497284	DB11738
497468	DB05095
498509	DB04895
498580	DB13070
539399	DB06783
543375	DB11108
544477	DB00290
544488	DB14115
544492	DB14115
544841	DB12328
545290	DB00105
545290	DB15131
577312	DB11579
578033	DB01279
578282	DB13850
578285	DB12647
578350	DB14740
579598	DB14161
580117	DB16586
586369	DB14800
586385	DB13414
586387	DB05808
586506	DB06647
587318	DB03085
587741	DB06192
588003	DB00939
588250	DB04896
588289	DB13105
588495	DB16138
589133	DB00693
589448	DB12415
589517	DB06469
589545	DB12318
589931	DB06536
590034	DB07063
590538	DB11333
590654	DB15210
591378	DB05817
591512	DB06649
591622	DB01273
591769	DB12139
591781	DB01257
591785	DB08887
591929	DB06184
592094	DB06510
592464	DB09009
592672	DB14702
593242	DB15161
593411	DB01261
593510	DB14764
593960	DB05161
594119	DB04895
594255	DB04942
594429	DB17784
594642	DB05478
594680	DB00632
594724	DB15134
594755	DB11790
595060	DB01270
595536	DB12672
595665	DB09116
595742	DB05506
595749	DB12781
596010	DB04881
596030	DB04570
596080	DB06197
596205	DB00980
596335	DB06497
596554	DB04876
596696	DB12540
596717	DB00720
596718	DB03568
596723	DB00439
596724	DB00261
597392	DB14112
601481	DB00600
601746	DB00698
602041	DB11141
602050	DB13977
606003	DB09527
606396	DB09532
606822	DB11126
607969	DB15821
608106	DB19295
608316	DB28492
610277	DB05913
610618	DB06562
610701	DB06556
610780	DB12666
611199	DB09134
611319	DB16213
611588	DB05518
612005	DB11585
612128	DB12020
612170	DB04914
612609	DB15360
612865	DB06273
612917	DB05611
612937	DB00018
613077	DB06660
613242	DB16080
613360	DB14938
613391	DB06209
613685	DB11668
613690	DB06195
613713	DB05353
614373	DB01609
614391	DB01281
614573	DB06195
614653	DB01049
614743	DB09460
616739	DB05271
616877	DB14751
618365	DB09318
618371	DB14007
618564	DB11152
618970	DB09015
618974	DB02362
619693	DB06614
619931	DB17813
619982	DB07101
620216	DB04835
620369	DB11801
620506	DB06573
620710	DB05186
620936	DB12375
621195	DB17813
621593	DB17566
622565	DB04985
622587	DB14733
623030	DB05111
623033	DB01046
623047	DB08824
623400	DB06218
629565	DB01272
631657	DB00030
638139	DB12350
638454	DB04849
638550	DB05713
639026	DB06432
639279	DB06429
639377	DB14067
639396	DB06248
639465	DB00025
640062	DB06213
640083	DB12971
640533	DB18761
640571	DB06367
640735	DB09101
641465	DB06413
641588	DB12182
641712	DB06188
641884	DB16132
642029	DB05415
642274	DB01256
644101	DB01271
644195	DB15607
644544	DB16566
644718	DB11169
648202	DB09511
654864	DB11599
655115	DB14156
657717	DB05434
657718	DB04905
657797	DB06287
658084	DB06423
658158	DB04980
658223	DB05915
658280	DB08894
658677	DB12361
658708	DB05311
658725	DB05136
658991	DB16107
659036	DB06599
659037	DB09534
659140	DB12432
659161	DB06268
659177	DB15644
659190	DB06677
659326	DB12904
659462	DB12852
659476	DB14307
659920	DB05562
659939	DB04887
660103	DB05616
660231	DB04888
660659	DB04992
661507	DB05500
661595	DB16210
661844	DB05399
662019	DB06813
662145	DB15402
662281	DB04868
662400	DB05590
669166	DB11357
670352	DB01307
670538	DB14302
672645	DB01266
672872	DB13198
673738	DB16151
674007	DB04998
674235	DB09341
674442	DB16346
675705	DB04933
676460	DB05006
676679	DB13925
677205	DB05626
677251	DB06609
677875	DB05413
678464	DB06080
679314	DB01267
680912	DB12855
682215	DB17792
682266	DB16097
682394	DB11883
682547	DB11947
682604	DB06575
683541	DB12378
684834	DB06267
684879	DB00165
687419	DB14830
690299	DB14114
692620	DB00743
692863	DB09537
700810	DB01255
704517	DB12965
704970	DB10710
705022	DB08906
707705	DB00316
708613	DB12242
708713	DB05470
708865	DB07215
709162	DB06179
709271	DB08904
709301	DB16077
709576	DB12826
710039	DB14206
710362	DB11941
710812	DB05722
711152	DB12908
711275	DB05968
711483	DB17277
711672	DB12662
711942	DB06210
712431	DB06333
712566	DB06650
712856	DB12211
713013	DB12202
713161	DB06156
713333	DB11624
713476	DB13061
713785	DB06178
714085	DB11681
714438	DB06589
714466	DB12233
714590	DB05282
714764	DB05298
714828	DB11085
714925	DB14958
715177	DB12168
715507	DB11665
715518	DB05330
715870	DB12805
716405	DB12292
716407	DB15272
716465	DB12757
716473	DB05393
716813	DB12338
717192	DB06673
717807	DB09543
718369	DB05158
718967	DB06532
719047	DB12019
719092	DB06607
719872	DB06817
720498	DB05885
720825	DB06207
721093	DB06021
721378	DB09262
721545	DB00016
723868	DB11312
725206	DB14317
729596	DB09107
732150	DB15919
732709	DB06163
733003	DB06809
733301	DB15012
733560	DB11620
734064	DB06700
734335	DB06285
734601	DB01481
734612	DB05169
734854	DB13059
734926	DB06405
735188	DB06586
735456	DB08142
735493	DB01541
735544	DB15197
736443	DB11964
736559	DB09200
736983	DB12454
738028	DB12679
738622	DB05829
738924	DB06169
739174	DB07232
739362	DB12220
739607	DB12402
740550	DB11865
741222	DB06640
741332	DB15834
742388	DB11629
742808	DB05861
742953	DB06624
743465	DB11972
744200	DB17376
746741	DB00413
751545	DB15344
753340	DB00360
753346	DB01266
758464	DB04983
758494	DB00016
759013	DB04923
762595	DB11050
762817	DB10317
763096	DB10795
763098	DB10796
763100	DB10797
763450	DB06372
768740	DB05051
768925	DB06182
769327	DB11104
769758	DB06354
769924	DB12664
770423	DB14940
770580	DB09211
770749	DB08797
771612	DB16325
771632	DB05830
772089	DB06399
774784	DB12382
774801	DB07776
775122	DB05739
776454	DB11830
777488	DB05644
778039	DB05530
778739	DB05423
781084	DB11727
781943	DB12707
784150	DB12648
784649	DB06216
784911	DB06190
786439	DB16012
786629	DB05585
787390	DB06204
787830	DB05185
788471	DB06587
797195	DB06702
797541	DB02325
797550	DB00028
797629	DB10798
797631	DB10799
797633	DB10801
797635	DB10800
797752	DB11627
798202	DB14110
798220	DB10289
798222	DB10290
798224	DB10291
798226	DB10292
798228	DB10286
798230	DB10287
798232	DB10288
798262	DB10300
798264	DB10301
798264	DB10994
798266	DB10302
798268	DB10299
798304	DB09877
798304	DB10584
798306	DB09876
798306	DB10583
798372	DB10316
798444	DB10342
802624	DB08884
804179	DB10315
804187	DB10805
805452	DB05332
807219	DB10803
809864	DB06404
812511	DB05075
812936	DB06634
812950	DB05659
813199	DB05718
813201	DB12213
813241	DB15399
813316	DB09461
813358	DB12563
813381	DB18530
813859	DB10415
814059	DB16083
814322	DB12493
814522	DB05210
814769	DB00992
815202	DB14771
815252	DB14765
815362	DB06362
816249	DB09111
816346	DB05351
816511	DB12099
816679	DB12064
817181	DB06314
817518	DB06670
817961	DB05303
818570	DB05198
818573	DB11526
818736	DB00372
818784	DB00933
818793	DB06311
819024	DB06069
819300	DB06674
819445	DB06134
819886	DB05049
819911	DB06771
820258	DB12239
820751	DB05575
821137	DB09208
821319	DB13198
821479	DB12420
821593	DB12391
821815	DB06399
821879	DB11792
822003	DB16008
822545	DB06582
823125	DB08915
823260	DB15022
825006	DB11571
826070	DB13192
826072	DB13133
828529	DB00062
828682	DB06716
830457	DB10283
830464	DB10062
835827	DB13943
838037	DB15393
838216	DB06171
838335	DB13135
838566	DB13029
838865	DB11737
839504	DB17612
839558	DB05939
839960	DB04904
840224	DB11949
840381	DB05396
840585	DB12984
840771	DB05660
841042	DB13083
841296	DB12812
841312	DB12935
841436	DB05050
841705	DB14772
841871	DB16151
841979	DB11781
842053	DB11851
842265	DB11927
842443	DB14813
842511	DB05772
843893	DB05139
843991	DB06630
845529	DB17795
847083	DB05679
847728	DB06708
848308	DB11166
851732	DB10451
851732	DB10940
851736	DB10734
851740	DB10354
851744	DB10475
851866	DB10735
851874	DB10369
851882	DB10712
851890	DB10452
851894	DB10759
851898	DB10404
851902	DB10453
851906	DB10351
851910	DB10722
851914	DB10721
851926	DB10459
851930	DB10381
851934	DB10497
851938	DB10384
851942	DB10947
851949	DB10399
851955	DB10948
851969	DB10765
851981	DB10871
851985	DB10387
851990	DB10490
851994	DB10394
851998	DB10386
852007	DB10768
852011	DB10909
852015	DB10357
852020	DB10390
852025	DB10356
852029	DB10372
852046	DB10763
852054	DB10361
852062	DB10710
852070	DB10954
852074	DB10767
852079	DB10755
852087	DB10816
852096	DB10760
852102	DB10427
852106	DB10953
852114	DB10377
852124	DB10941
852128	DB10873
852132	DB10837
852136	DB10365
852144	DB10352
852148	DB10458
852152	DB10766
852158	DB10388
852162	DB10398
852166	DB10832
852170	DB10752
852174	DB10753
852178	DB10724
852193	DB10926
852197	DB10715
852205	DB10942
852209	DB10360
852213	DB10359
852217	DB10355
852221	DB10364
852225	DB10836
852229	DB10485
852233	DB10943
852237	DB10368
852252	DB10604
852256	DB10406
852260	DB10737
852264	DB10933
852268	DB10481
852272	DB10380
852276	DB10740
852281	DB10363
852294	DB10376
852298	DB10416
852302	DB10374
852306	DB10945
852311	DB10937
852315	DB10411
852320	DB10371
852324	DB10472
852329	DB10494
852339	DB10456
852343	DB10489
852348	DB10750
852355	DB10464
852359	DB11006
852363	DB10463
852367	DB10751
852376	DB10754
852382	DB10383
852386	DB10470
852398	DB10433
852404	DB10939
852412	DB10711
852419	DB10350
852440	DB10408
852450	DB10348
852466	DB10434
852479	DB10410
852491	DB10815
852496	DB10455
852503	DB10934
852509	DB10910
852514	DB10395
852519	DB10345
852526	DB10758
852532	DB10927
852539	DB10764
852551	DB10929
852561	DB10397
852569	DB10396
852577	DB10496
852581	DB10460
852585	DB10473
852589	DB10731
852593	DB10928
852597	DB10730
852601	DB10729
852605	DB10949
852609	DB10461
852613	DB10946
852617	DB10535
852622	DB10488
852627	DB10495
852634	DB10454
852653	DB10378
852659	DB10719
852663	DB10605
852669	DB10480
852673	DB10349
852680	DB10373
852687	DB10808
852693	DB10412
852697	DB10714
852704	DB10950
852709	DB10487
852716	DB10746
852738	DB10486
852742	DB10382
852746	DB10392
852750	DB10393
852756	DB10936
852797	DB10705
852802	DB10952
852806	DB10725
852814	DB10466
852834	DB10366
852839	DB10606
852844	DB11005
853491	DB06168
854025	DB10867
854082	DB10426
854130	DB10439
854163	DB10955
854930	DB10319
854932	DB10329
854934	DB10330
854936	DB10331
854938	DB10332
854940	DB10333
854942	DB10334
854944	DB10335
854946	DB10337
854948	DB10336
854950	DB10320
854952	DB10338
854954	DB10339
854956	DB10340
854958	DB10321
854960	DB10341
854962	DB10322
854964	DB10323
854966	DB10324
854968	DB10325
854970	DB10326
854972	DB10327
854974	DB10328
855055	DB14101
857974	DB06335
860168	DB00083
860178	DB00042
860189	DB00083
861634	DB08860
862453	DB10506
862460	DB10516
862461	DB10518
862475	DB10542
862478	DB10556
863035	DB04890
867142	DB10493
867198	DB10431
867202	DB10432
867218	DB10468
867228	DB10435
867232	DB10436
867260	DB10457
867274	DB10438
867284	DB10440
867297	DB10465
867311	DB10375
867321	DB10442
867325	DB10474
867341	DB10419
867349	DB10445
867353	DB10482
867357	DB10446
867361	DB10498
868463	DB09213
868475	DB12191
868480	DB05719
868482	DB14923
868655	DB11958
869004	DB16134
869125	DB05192
869521	DB05169
869531	DB16029
869589	DB11909
869643	DB05817
869675	DB06323
869792	DB11646
869837	DB12533
870197	DB09421
870214	DB11864
870298	DB06233
870564	DB12263
870611	DB12572
870643	DB12125
870749	DB15601
870796	DB05710
870895	DB16126
870941	DB12021
871208	DB05687
871228	DB05625
871495	DB06629
871579	DB12943
871585	DB11944
871668	DB08892
871809	DB12463
871923	DB12228
872351	DB07941
872407	DB12335
872467	DB12181
872723	DB06280
872797	DB05697
873955	DB15689
874017	DB15601
874192	DB09066
874618	DB05395
874643	DB12334
874688	DB12395
874864	DB11715
874971	DB12359
874999	DB05595
875203	DB05552
875279	DB14824
875506	DB12174
875666	DB06310
875695	DB14027
875723	DB05552
875767	DB11759
877015	DB11596
877510	DB06176
880350	DB16615
881264	DB14157
882469	DB10616
882482	DB10626
882485	DB10874
882488	DB10918
883414	DB10652
883442	DB10817
883459	DB10892
885183	DB13894
885185	DB13893
885187	DB13892
885189	DB13891
885750	DB10491
886637	DB10690
886638	DB10693
889548	DB10707
889591	DB10618
889602	DB10619
889646	DB10620
889669	DB10624
891502	DB10666
891514	DB10510
891611	DB10523
891633	DB10654
891637	DB10639
891641	DB10540
891647	DB10830
891652	DB10676
891652	DB15544
891658	DB10553
891668	DB10568
891676	DB10508
891687	DB10577
891695	DB10919
891721	DB10977
891727	DB10525
891752	DB10686
891771	DB10501
891796	DB10503
891830	DB10505
892181	DB10613
892317	DB10634
892332	DB10555
892338	DB10581
892360	DB10903
892368	DB10515
892372	DB10517
892484	DB10571
892499	DB10573
892503	DB10574
892507	DB10500
892517	DB10514
892517	DB15611
892526	DB10653
892539	DB11009
892543	DB11010
892547	DB10572
892561	DB10541
892565	DB10549
892569	DB10551
892575	DB10552
892584	DB11014
892592	DB10567
892599	DB10509
892610	DB11011
892616	DB10528
892620	DB10530
892628	DB10561
892632	DB10562
892638	DB10564
892653	DB10519
892661	DB10563
892665	DB10543
892734	DB10761
892851	DB10421
894750	DB10716
894783	DB10422
894795	DB10869
894934	DB10420
894961	DB10857
894987	DB10409
895062	DB10605
895070	DB10603
895195	DB10607
895279	DB10608
895353	DB10720
895365	DB10346
895488	DB10856
895495	DB10867
895503	DB10876
895507	DB10877
895515	DB10880
895527	DB10898
895538	DB10868
895542	DB10881
895552	DB10669
895574	DB10502
895582	DB10504
895919	DB10484
896135	DB10385
896213	DB10582
896246	DB10762
896752	DB14473
897018	DB06637
897304	DB10756
897316	DB10391
897332	DB10757
897391	DB10479
897403	DB10743
898324	DB10894
898404	DB10353
898492	DB00048
899355	DB10829
899359	DB10640
899363	DB10557
899378	DB10628
899382	DB10629
899386	DB10511
899390	DB10642
899394	DB10512
899398	DB10513
899414	DB10532
899420	DB10344
899424	DB10534
899428	DB10615
899434	DB10617
899444	DB10645
899448	DB10539
899452	DB10885
899456	DB10545
899466	DB10548
899470	DB10560
899476	DB10536
899490	DB10663
899550	DB10833
899576	DB10831
899593	DB10736
899611	DB10911
899637	DB10671
899645	DB10882
899650	DB10883
899661	DB10643
899673	DB10520
899724	DB10672
899734	DB10631
899738	DB10527
899742	DB10632
899746	DB10531
899873	DB10678
899877	DB10647
899895	DB10558
899906	DB10636
899916	DB10623
900025	DB10861
900031	DB10621
900045	DB10723
900108	DB10727
900113	DB10728
900131	DB10914
900148	DB10718
900704	DB10912
900731	DB10747
900743	DB10749
900750	DB10924
900754	DB10923
900758	DB10896
900764	DB10895
900770	DB10744
900777	DB10925
900788	DB10908
900987	DB10889
900991	DB10738
900999	DB10887
901011	DB10888
901191	DB10875
901195	DB10905
901199	DB10566
901203	DB10907
901258	DB10578
901265	DB10627
901283	DB10625
901291	DB10576
901299	DB10579
901303	DB10853
901307	DB10648
901313	DB10683
901317	DB10569
901329	DB10890
901337	DB10563
901346	DB10913
901351	DB10708
901365	DB10864
901369	DB10544
901382	DB10538
901390	DB10614
901505	DB14427
901507	DB14428
901509	DB14429
901511	DB14430
901620	DB10293
901624	DB10298
901628	DB10294
901631	DB10295
901633	DB10296
901636	DB10297
901805	DB06720
901845	DB10424
902215	DB10462
903913	DB10478
904498	DB10852
904507	DB10529
904554	DB10535
904565	DB00016
904606	DB10559
905070	DB10423
905070	DB14168
905088	DB10840
905258	DB10417
905276	DB10418
905301	DB10451
966692	DB10845
966696	DB10580
966925	DB10707
966943	DB10809
966979	DB10822
966995	DB10813
967033	DB10807
967111	DB10810
967529	DB10701
967721	DB10814
967921	DB10688
967960	DB10811
967970	DB10975
968114	DB10846
968123	DB10847
968130	DB10702
968170	DB06811
968197	DB10703
968401	DB10827
968413	DB10915
968422	DB10828
968426	DB10696
968437	DB10444
968467	DB10850
968475	DB10704
968492	DB10835
968502	DB10849
968506	DB10848
968804	DB00987
968897	DB13151
970853	DB12589
970855	DB11841
970870	DB12145
971166	DB10851
971175	DB15405
971198	DB10825
971379	DB10646
971425	DB05942
971696	DB12658
971699	DB12451
971849	DB10537
971926	DB12369
971932	DB10546
971992	DB17508
972037	DB10610
972095	DB12326
972177	DB09198
972365	DB10812
972480	DB10862
972601	DB10644
972689	DB10611
972708	DB12714
972901	DB05404
972991	DB12588
973274	DB10550
973447	DB10866
973880	DB10633
974128	DB12555
974129	DB10622
974140	DB10904
974217	DB15084
974493	DB05519
974527	DB10983
974631	DB05459
974650	DB10547
974687	DB10981
974741	DB10691
974774	DB12002
974779	DB08935
975119	DB10575
975509	DB10570
975541	DB12879
975763	DB10673
975799	DB12807
975944	DB05352
975996	DB10700
976439	DB12494
976634	DB05737
976647	DB11920
976668	DB11972
976711	DB10891
977106	DB06600
977863	DB04920
978673	DB11067
979384	DB13883
991260	DB02938
991743	DB00058
992920	DB13210
993449	DB06643
995600	DB10356
995699	DB10818
995703	DB11025
995707	DB10870
995727	DB10839
995738	DB11026
995743	DB10471
995747	DB10467
995754	DB10732
996051	DB06772
997261	DB06688
997602	DB12153
999384	DB10694
999438	DB10697
999450	DB10695
999457	DB10698
999463	DB10699
999487	DB10706
1000082	DB06766
1000104	DB00083
1000112	DB00603
1000146	DB13954
1000492	DB02709
1000577	DB14158
1005921	DB08867
1006258	DB10844
1006310	DB10449
1006340	DB10897
1006340	DB14759
1006371	DB10733
1006469	DB03756
1006495	DB10921
1006506	DB10879
1006510	DB10980
1009148	DB12127
1010879	DB10670
1010915	DB10977
1010926	DB10641
1010932	DB10659
1010954	DB10675
1010954	DB14312
1010965	DB10677
1010971	DB10984
1010999	DB10656
1011017	DB10681
1011021	DB10660
1011027	DB10661
1011033	DB10651
1011043	DB10674
1011049	DB10662
1011060	DB10635
1011066	DB10655
1011404	DB10657
1011412	DB10637
1011418	DB10664
1011426	DB10658
1011627	DB10982
1011633	DB10679
1011650	DB05321
1011650	DB09208
1012026	DB10612
1012134	DB10630
1012140	DB10685
1012892	DB08868
1013913	DB10748
1013944	DB10742
1014191	DB10469
1014340	DB10964
1014360	DB10745
1014385	DB10834
1014391	DB10841
1014395	DB10842
1014399	DB10843
1014447	DB10859
1014690	DB10922
1014707	DB10899
1014711	DB10906
1014721	DB10739
1014731	DB10713
1014735	DB10858
1014739	DB10900
1014743	DB10902
1014755	DB10916
1014762	DB10754
1014766	DB10838
1014774	DB10717
1021620	DB11132
1021684	DB06737
1021741	DB05656
1023667	DB12517
1024897	DB11649
1025291	DB16828
1025342	DB11256
1025828	DB12764
1025897	DB12702
1026273	DB14956
1026593	DB05295
1026853	DB16244
1027551	DB13019
1027954	DB16031
1028788	DB06334
1028808	DB11723
1028851	DB12556
1029083	DB12621
1029145	DB05996
1029225	DB11766
1029247	DB12268
1029800	DB12424
1029990	DB11687
1030006	DB12973
1030184	DB05325
1030298	DB13108
1030468	DB11092
1030505	DB12283
1030661	DB12686
1030795	DB11756
1030912	DB05016
1031156	DB11645
1031362	DB12782
1031439	DB12137
1031800	DB12392
1032116	DB09102
1032563	DB12743
1032612	DB11756
1032786	DB12411
1032932	DB12061
1033010	DB05721
1033355	DB11896
1033695	DB05607
1034505	DB15377
1035068	DB01554
1035248	DB12791
1035358	DB06350
1035449	DB12823
1035459	DB05455
1035795	DB11929
1035853	DB06235
1035894	DB12339
1035946	DB15098
1035997	DB11993
1036153	DB12214
1036176	DB11878
1036427	DB11816
1036491	DB05650
1036503	DB05496
1036718	DB14945
1036763	DB09373
1037042	DB06695
1039062	DB11599
1040004	DB06590
1040005	DB06590
1040028	DB08815
1041825	DB12208
1043181	DB08846
1044584	DB08869
1044975	DB14128
1044977	DB11204
1045453	DB08871
1046243	DB14002
1046243	DB14003
1047072	DB11431
1085787	DB09300
1085955	DB11538
1086769	DB06684
1091605	DB12909
1091642	DB08822
1091643	DB21772
1091836	DB01656
1092437	DB08879
1094116	DB10962
1094193	DB10967
1094833	DB06186
1098118	DB10961
1098130	DB10968
1098183	DB10976
1098189	DB10988
1098200	DB10969
1098232	DB10963
1098247	DB11014
1098257	DB10986
1098274	DB13895
1098353	DB10413
1098413	DB05294
1098455	DB10966
1098619	DB10970
1099660	DB11477
1099933	DB14409
1099937	DB14410
1099937	DB14685
1100072	DB05812
1100699	DB08882
1101333	DB08872
1102129	DB08873
1102188	DB11210
1102261	DB05521
1102270	DB08864
1103709	DB09268
1103727	DB11804
1104070	DB16141
1104246	DB12696
1104636	DB15446
1104704	DB12307
