rxcui	drugbank
3255	DB00547
3264	DB01234
3267	DB08997
3268	DB01191
3288	DB00182
3288	DB01576
3289	DB00514
3290	DB01529
3292	DB00509
3304	DB01452
3315	DB12873
3319	DB00271
3322	DB00829
3326	DB17537
3327	DB01119
3328	DB13270
3332	DB13225
3339	DB00527
3347	DB08809
3349	DB12803
3350	DB00720
3351	DB11396
3353	DB01144
3355	DB00586
3356	DB00485
3361	DB00804
3363	DB00943
3364	DB00900
3368	DB00890
3384	DB00711
3389	DB00937
3390	DB00255
3392	DB09095
3393	DB00861
3403	DB01396
3407	DB00390
3409	DB12945
3415	DB11273
3416	DB13345
3417	DB13385
3418	DB00320
3422	DB01565
3423	DB00327
3429	DB01070
3431	DB04326
3435	DB09115
3443	DB00343
3444	DB00985
3445	DB06782
3446	DB00566
3449	DB08801
3455	DB01093
3470	DB11831
3477	DB12789
3478	DB00917
3487	DB01466
3489	DB08995
3498	DB01075
3500	DB01081
3520	DB01548
3521	DB00975
3523	DB04817
3539	DB13404
3541	DB00280
3551	DB13694
3554	DB00822
3556	DB08994
3558	DB11516
3616	DB00841
3625	DB01528
3626	DB01184
3628	DB00988
3634	DB09167
3637	DB00561
3638	DB01142
3639	DB00997
3640	DB00254
3642	DB00366
3648	DB00450
3690	DB14007
3706	DB00378
3713	DB16146
3714	DB00651
3737	DB16935
3743	DB01127
3752	DB01010
3755	DB00974
3757	DB12898
3820	DB13393
3821	DB07715
3827	DB00584
3829	DB09477
3831	DB12358
3835	DB16952
3920	DB00228
3923	DB12668
3925	DB00467
3966	DB01364
3992	DB00668
3995	DB00445
4018	DB00153
4021	DB01253
4022	DB04038
4024	DB01049
4025	DB00696
4040	DB01613
4053	DB00199
4065	DB15907
4077	DB01215
4083	DB00783
4089	DB01196
4094	DB04573
4099	DB00286
4103	DB00655
4106	DB13190
4109	DB00903
4110	DB00330
4112	DB13483
4118	DB00189
4124	DB00977
4125	DB00965
4126	DB01143
4127	DB00609
4134	DB00392
4135	DB00593
4136	DB00754
4139	DB00311
4140	DB08794
4141	DB13259
4158	DB14189
4162	DB01493
4166	DB01466
4169	DB08985
4170	DB00823
4171	DB08987
4177	DB00292
4178	DB01462
4179	DB00773
4182	DB00926
4186	DB09086
4191	DB09361
4256	DB00036
4267	DB15420
4271	DB12909
4274	DB12909
4278	DB00927
4301	DB11133
4316	DB01023
4319	DB00093
4325	DB11410
4327	DB08980
4328	DB00574
4331	DB00573
4333	DB01288
4335	DB08979
4337	DB00813
4356	DB14490
4381	DB14999
4382	DB16604
4385	DB09222
4388	DB05254
4397	DB15150
4418	DB15481
4419	DB13961
4440	DB01148
4441	DB01195
4444	DB08976
4448	DB00301
4450	DB00196
4451	DB01099
4452	DB00687
4453	DB02266
4457	DB01205
4458	DB00663
4459	DB04841
4460	DB01544
4461	DB00591
4462	DB01047
4463	DB08971
4464	DB15821
4465	DB15777
4488	DB00322
4491	DB00324
4492	DB00544
4493	DB00472
4494	DB01185
4495	DB00875
4496	DB00623
4497	DB09378
4500	DB00846
4501	DB00690
4502	DB00712
4504	DB08969
4507	DB04842
4508	DB00499
4511	DB00158
4530	DB03843
4537	DB01942
4542	DB03843
4550	DB00828
4556	DB00452
4570	DB04173
4582	DB09256
4601	DB00614
4603	DB00695
4604	DB08966
4608	DB02703
4613	DB16948
4617	DB02530
4626	DB11735
4637	DB00674
4639	DB00483
4648	DB12923
