branded_drug	ingredient
DRON:00069505	DRON:00723223
DRON:00069506	CHEBI:29864
DRON:00069506	DRON:00020263
DRON:00069507	CHEBI:29864
DRON:00069507	CHEBI:30563
DRON:00069507	CHEBI:50819
DRON:00069507	DRON:00020263
DRON:00069508	CHEBI:29864
DRON:00069508	CHEBI:50819
DRON:00069508	DRON:00020263
DRON:00069509	CHEBI:29864
DRON:00069509	CHEBI:50819
DRON:00069509	DRON:00020263
DRON:00069511	CHEBI:32234
DRON:00069511	CHEBI:5291
DRON:00069511	CHEBI:53700
DRON:00069511	DRON:00020263
DRON:00069511	DRON:00723499
DRON:00069512	CHEBI:32234
DRON:00069512	CHEBI:5291
DRON:00069512	DRON:00020263
DRON:00069512	DRON:00723499
DRON:00069512	DRON:00723503
DRON:00069526	CHEBI:10607
DRON:00069526	CHEBI:16236
DRON:00069526	CHEBI:30618
DRON:00069526	CHEBI:32234
DRON:00069526	CHEBI:46793
DRON:00069526	CHEBI:50819
DRON:00069526	CHEBI:53248
DRON:00069526	CHEBI:62968
DRON:00069526	DRON:00723226
DRON:00069526	DRON:00723767
DRON:00069527	CHEBI:10607
DRON:00069527	CHEBI:16236
DRON:00069527	CHEBI:30618
DRON:00069527	CHEBI:32234
DRON:00069527	CHEBI:46793
DRON:00069527	CHEBI:50819
DRON:00069527	CHEBI:53248
DRON:00069527	CHEBI:62968
DRON:00069527	DRON:00723226
DRON:00069527	DRON:00723767
DRON:00069537	CHEBI:17716
DRON:00069537	CHEBI:22652
DRON:00069537	CHEBI:32178
DRON:00069537	CHEBI:32234
DRON:00069537	CHEBI:50819
DRON:00069537	CHEBI:62968
DRON:00069537	CHEBI:76359
DRON:00069537	DRON:00016127
DRON:00069537	DRON:00020263
DRON:00069537	DRON:00723226
DRON:00069537	DRON:00767224
DRON:00069537	DRON:00827263
DRON:00069538	CHEBI:17716
DRON:00069538	CHEBI:22652
DRON:00069538	CHEBI:32178
DRON:00069538	CHEBI:32234
DRON:00069538	CHEBI:50819
DRON:00069538	CHEBI:62968
DRON:00069538	CHEBI:76359
DRON:00069538	DRON:00016127
DRON:00069538	DRON:00020263
DRON:00069538	DRON:00723226
DRON:00069538	DRON:00767224
DRON:00069538	DRON:00827263
DRON:00069575	CHEBI:190296
DRON:00069575	DRON:00020263
DRON:00069576	CHEBI:190296
DRON:00069576	CHEBI:53700
DRON:00069576	DRON:00020263
DRON:00069576	DRON:00723223
DRON:00069577	CHEBI:190296
DRON:00069577	DRON:00020263
DRON:00069577	DRON:00723503
DRON:00069582	CHEBI:62968
DRON:00069607	CHEBI:17716
DRON:00069607	CHEBI:30563
DRON:00069607	CHEBI:32178
DRON:00069607	CHEBI:53248
DRON:00069607	DRON:00020263
DRON:00069608	CHEBI:17716
DRON:00069608	CHEBI:30563
DRON:00069608	CHEBI:32178
DRON:00069608	CHEBI:53248
DRON:00069608	DRON:00020263
DRON:00069610	CHEBI:16997
DRON:00069610	CHEBI:30563
DRON:00069610	CHEBI:30618
DRON:00069610	CHEBI:62968
DRON:00069610	DRON:00020263
DRON:00069611	CHEBI:16997
DRON:00069611	CHEBI:30187
DRON:00069611	CHEBI:30563
DRON:00069611	CHEBI:30618
DRON:00069611	CHEBI:32178
DRON:00069611	CHEBI:32234
DRON:00069611	CHEBI:62968
DRON:00069611	DRON:00020263
DRON:00069611	DRON:00723223
DRON:00069612	CHEBI:16997
DRON:00069612	CHEBI:30563
DRON:00069612	CHEBI:30618
DRON:00069612	CHEBI:32178
DRON:00069612	CHEBI:32234
DRON:00069612	CHEBI:53700
DRON:00069612	CHEBI:62968
DRON:00069612	DRON:00020263
DRON:00069613	CHEBI:16997
DRON:00069613	CHEBI:30187
DRON:00069613	CHEBI:30563
DRON:00069613	CHEBI:30618
DRON:00069613	CHEBI:32178
DRON:00069613	CHEBI:32234
DRON:00069613	CHEBI:53700
DRON:00069613	CHEBI:62968
DRON:00069613	DRON:00020263
DRON:00069635	CHEBI:15377
DRON:00069635	CHEBI:17824
DRON:00069635	CHEBI:29864
DRON:00069635	CHEBI:53248
DRON:00069636	CHEBI:17716
DRON:00069636	CHEBI:32178
DRON:00069636	CHEBI:32234
DRON:00069636	CHEBI:5291
DRON:00069636	CHEBI:62968
DRON:00069636	DRON:00017826
DRON:00069636	DRON:00723223
DRON:00069636	DRON:00723302
DRON:00069636	DRON:00723360
