curie	ndc	branded_drug
DRON:00090671	54868104803	DRON:00068950
DRON:00090672	57773076300	DRON:00068950
DRON:00090673	00003066301	DRON:00068951
DRON:00090674	00003066345	DRON:00068951
DRON:00090675	00003066375	DRON:00068951
DRON:00090676	49884079701	DRON:00068951
DRON:00090677	00003060301	DRON:00068952
DRON:00090678	00003060343	DRON:00068952
DRON:00090679	00003060350	DRON:00068952
DRON:00090680	49884079801	DRON:00068952
DRON:00090689	00039001104	DRON:00068953
DRON:00090690	00039001123	DRON:00068953
DRON:00090691	00039001160	DRON:00068953
DRON:00090692	12854033002	DRON:00068953
DRON:00090693	12854033015	DRON:00068953
DRON:00090694	12854033060	DRON:00068953
DRON:00090695	14608033002	DRON:00068953
DRON:00090696	14608033015	DRON:00068953
DRON:00090697	14608033060	DRON:00068953
DRON:00090698	51672520401	DRON:00068953
DRON:00090699	51672520403	DRON:00068953
DRON:00090700	51672520405	DRON:00068953
DRON:00090701	51672520407	DRON:00068953
DRON:00090702	54569078600	DRON:00068953
DRON:00090703	54868097601	DRON:00068953
DRON:00090704	54868097602	DRON:00068953
DRON:00090705	58016318701	DRON:00068953
DRON:00090706	61360520401	DRON:00068953
DRON:00090707	61360520403	DRON:00068953
DRON:00090708	61360520405	DRON:00068953
DRON:00090709	61360520407	DRON:00068953
DRON:00090710	99207001115	DRON:00068953
DRON:00090711	99207001160	DRON:00068953
DRON:00090712	00039001423	DRON:00068954
DRON:00090713	00039001460	DRON:00068954
DRON:00090714	12854033404	DRON:00068954
DRON:00090715	12854033415	DRON:00068954
DRON:00090716	12854033431	DRON:00068954
DRON:00090717	12854033460	DRON:00068954
DRON:00090718	14608033404	DRON:00068954
DRON:00090719	14608033415	DRON:00068954
DRON:00090720	14608033460	DRON:00068954
DRON:00090721	51672520201	DRON:00068954
DRON:00090722	51672520203	DRON:00068954
DRON:00090723	51672520205	DRON:00068954
DRON:00090724	55045148305	DRON:00068954
DRON:00090725	55045148309	DRON:00068954
DRON:00090726	61360520201	DRON:00068954
DRON:00090727	61360520203	DRON:00068954
DRON:00090728	61360520205	DRON:00068954
DRON:00090729	99207001415	DRON:00068954
DRON:00090730	99207001460	DRON:00068954
DRON:00090747	00039002515	DRON:00068955
DRON:00090748	00039002560	DRON:00068955
DRON:00090749	12854033202	DRON:00068955
DRON:00090750	12854033215	DRON:00068955
DRON:00090751	12854033260	DRON:00068955
DRON:00090752	14608033202	DRON:00068955
DRON:00090753	14608033215	DRON:00068955
DRON:00090754	14608033260	DRON:00068955
DRON:00090755	51672520301	DRON:00068955
DRON:00090756	51672520303	DRON:00068955
DRON:00090757	51672520305	DRON:00068955
DRON:00090758	54868266201	DRON:00068955
DRON:00090759	54868266202	DRON:00068955
DRON:00090760	55045208309	DRON:00068955
DRON:00090761	61360520301	DRON:00068955
DRON:00090762	61360520303	DRON:00068955
