clinical_drug	ingredient	strength	unit
DRON:00038792	DRON:00016575	500.0	UO:0000022
DRON:00038794	DRON:00012448	650.0	UO:0000022
DRON:00038797	DRON:00012636	144.0	UO:0000022
DRON:00038798	CHEBI:75832	167.0	UO:0000022
DRON:00038799	CHEBI:75832	325.0	UO:0000022
DRON:00038800	CHEBI:75832	167.0	UO:0000022
DRON:00038801	CHEBI:75832	250.0	UO:0000022
DRON:00038802	CHEBI:75832	325.0	UO:0000022
DRON:00038803	CHEBI:75832	190.0	UO:0000022
DRON:00038804	CHEBI:31608	325.0	UO:0000022
DRON:00038805	CHEBI:31608	435.0	UO:0000022
DRON:00038806	CHEBI:31607	325.0	UO:0000022
DRON:00038808	CHEBI:17439	0.1	UO:0000022
DRON:00038808	CHEBI:26948	10.0	UO:0000022
DRON:00038811	CHEBI:26948	5.0	UO:0000022
DRON:00038811	CHEBI:31607	330.0	UO:0000022
DRON:00038949	CHEBI:27958	135.0	UO:0000022
DRON:00038992	CHEBI:28966	100.0	UO:0000022
DRON:00038998	DRON:00016321	3400.0	UO:0000022
DRON:00038999	CHEBI:15365	180.0	UO:0000022
DRON:00038999	CHEBI:15407	30.0	UO:0000022
DRON:00038999	CHEBI:27732	15.0	UO:0000022
DRON:00038999	CHEBI:28884	60.0	UO:0000022
DRON:00039001	DRON:00012121	600.0	UO:0000022
DRON:00039004	CHEBI:9147	60.0	UO:0000022
DRON:00039004	DRON:00016889	300.0	UO:0000022
DRON:00039005	CHEBI:9147	60.0	UO:0000022
DRON:00039006	CHEBI:9147	95.0	UO:0000022
DRON:00039008	CHEBI:8104	12.0	UO:0000022
DRON:00039012	CHEBI:33130	80.0	UO:0000022
DRON:00039012	DRON:00018161	20.0	UO:0000022
DRON:00039014	CHEBI:27732	400.0	UO:0000022
DRON:00039015	CHEBI:3655	500.0	UO:0000022
DRON:00039015	CHEBI:46195	600.0	UO:0000022
DRON:00039016	CHEBI:75832	168.0	UO:0000022
DRON:00039024	CHEBI:28966	33.0	UO:0000022
DRON:00039026	CHEBI:9147	80.0	UO:0000022
DRON:00039027	CHEBI:22652	250.0	UO:0000022
DRON:00039027	CHEBI:31607	150.0	UO:0000022
DRON:00039035	CHEBI:3310	1000.0	UO:0000022
DRON:00039039	CHEBI:29708	390.0	UO:0000022
DRON:00039040	CHEBI:3310	500.0	UO:0000022
DRON:00039041	CHEBI:31608	520.0	UO:0000022
DRON:00039048	CHEBI:15356	500.0	UO:0000022
DRON:00039051	CHEBI:3311	350.0	UO:0000022
DRON:00039051	CHEBI:9147	25.0	UO:0000022
DRON:00039056	CHEBI:25094	250.0	UO:0000022
DRON:00039057	CHEBI:25094	1000.0	UO:0000022
DRON:00039058	CHEBI:17154	250.0	UO:0000022
DRON:00039060	CHEBI:9147	80.0	UO:0000022
DRON:00039060	DRON:00016889	400.0	UO:0000022
DRON:00039064	CHEBI:101278	300.0	UO:0000022
DRON:00039066	CHEBI:28971	125.0	UO:0000022
DRON:00039067	CHEBI:3534	50.0	UO:0000022
DRON:00039069	CHEBI:48923	333.0	UO:0000022
DRON:00039070	CHEBI:48923	600.0	UO:0000022
DRON:00039076	CHEBI:27306	15.0	UO:0000022
DRON:00039076	CHEBI:6030	300.0	UO:0000022
DRON:00039077	CHEBI:27779	165.0	UO:0000022
DRON:00039078	CHEBI:27779	330.0	UO:0000022
DRON:00039082	CHEBI:24564	50.0	UO:0000022
DRON:00039083	CHEBI:24564	100.0	UO:0000022
DRON:00039086	CHEBI:41922	100.0	UO:0000022
DRON:00039087	CHEBI:3077	0.5	UO:0000022
DRON:00039088	CHEBI:27436	25.0	UO:0000022
DRON:00039089	CHEBI:41922	0.1	UO:0000022
DRON:00039091	CHEBI:6784	0.5	UO:0000022
DRON:00039091	CHEBI:7627	1.0	UO:0000022
DRON:00039092	CHEBI:4903	0.05	UO:0000022
DRON:00039092	CHEBI:7630	0.25	UO:0000022
DRON:00039095	CHEBI:27999	1000.0	UO:0000022
DRON:00039096	CHEBI:4495	100.0	UO:0000022
DRON:00039097	DRON:00011660	15.0	UO:0000022
DRON:00039098	CHEBI:8502	100.0	UO:0000022
DRON:00039102	CHEBI:4551	0.0625	UO:0000022
DRON:00039104	CHEBI:6060	20.0	UO:0000022
DRON:00039106	CHEBI:8499	120.0	UO:0000022
DRON:00039107	CHEBI:2379	100.0	UO:0000022
DRON:00039109	CHEBI:28487	0.2	UO:0000022
DRON:00039109	CHEBI:5778	50.0	UO:0000022
DRON:00039110	CHEBI:9671	50.0	UO:0000022
DRON:00039111	CHEBI:9671	100.0	UO:0000022
DRON:00039112	CHEBI:3013	5.0	UO:0000022
DRON:00039112	CHEBI:32588	500.0	UO:0000022
DRON:00039113	CHEBI:3988	200.0	UO:0000022
DRON:00039114	CHEBI:9725	5.0	UO:0000022
DRON:00039116	CHEBI:51209	240.0	UO:0000022
DRON:00039118	CHEBI:52010	4.0	UO:0000022
DRON:00039118	CHEBI:8104	50.0	UO:0000022
DRON:00039119	CHEBI:52010	6.0	UO:0000022
DRON:00039119	CHEBI:8104	75.0	UO:0000022
DRON:00039123	CHEBI:51209	240.0	UO:0000022
DRON:00039123	CHEBI:52010	24.0	UO:0000022
DRON:00039124	CHEBI:51209	120.0	UO:0000022
DRON:00039124	CHEBI:52010	12.0	UO:0000022
DRON:00039125	CHEBI:51209	120.0	UO:0000022
DRON:00039125	CHEBI:59269	6.0	UO:0000022
DRON:00039129	CHEBI:2659	350.0	UO:0000022
DRON:00039131	DRON:00017119	300.0	UO:0000022
DRON:00039132	CHEBI:28177	350.0	UO:0000022
DRON:00039135	DRON:00016544	400.0	UO:0000022
DRON:00039138	DRON:00017985	145.0	UO:0000022
DRON:00039139	DRON:00017985	300.0	UO:0000022
DRON:00039140	DRON:00017985	450.0	UO:0000022
DRON:00039141	DRON:00017985	10.0	UO:0000022
DRON:00039143	DRON:00014291	500.0	UO:0000022
DRON:00039144	CHEBI:31794	50.0	UO:0000022
DRON:00039145	CHEBI:31794	100.0	UO:0000022
DRON:00039146	CHEBI:31794	600.0	UO:0000022
DRON:00039147	CHEBI:31794	835.0	UO:0000022
DRON:00039148	DRON:00015259	1080.0	UO:0000022
DRON:00039150	CHEBI:33130	50.0	UO:0000022
DRON:00039150	CHEBI:35149	150.0	UO:0000022
DRON:00039151	CHEBI:33130	500.0	UO:0000022
DRON:00039151	CHEBI:35149	300.0	UO:0000022
DRON:00039157	CHEBI:4514	30.0	UO:0000022
DRON:00039158	CHEBI:4514	30.0	UO:0000022
DRON:00039158	CHEBI:8069	15.0	UO:0000022
DRON:00039159	CHEBI:3699	600.0	UO:0000022
DRON:00039161	CHEBI:4604	15.0	UO:0000022
DRON:00039162	CHEBI:4604	75.0	UO:0000022
DRON:00039164	DRON:00018284	150.0	UO:0000022
DRON:00039165	DRON:00018284	400.0	UO:0000022
DRON:00039166	CHEBI:29987	325.0	UO:0000022
DRON:00039167	CHEBI:137881	300.0	UO:0000022
DRON:00039168	CHEBI:9147	55.0	UO:0000022
DRON:00039170	CHEBI:9738	12.5	UO:0000022
DRON:00039171	CHEBI:9738	50.0	UO:0000022
DRON:00039172	CHEBI:9738	75.0	UO:0000022
DRON:00039176	CHEBI:45951	20.0	UO:0000022
DRON:00039179	CHEBI:5000	60.0	UO:0000022
DRON:00039181	CHEBI:2666	15.0	UO:0000022
DRON:00039181	CHEBI:8028	3.0	UO:0000022
DRON:00039182	CHEBI:15365	325.0	UO:0000022
DRON:00039185	CHEBI:15365	325.0	UO:0000022
DRON:00039185	CHEBI:27732	30.0	UO:0000022
DRON:00039187	CHEBI:15365	650.0	UO:0000022
DRON:00039187	CHEBI:16714	30.0	UO:0000022
DRON:00039188	CHEBI:5855	300.0	UO:0000022
DRON:00039189	CHEBI:5855	400.0	UO:0000022
DRON:00039190	CHEBI:6128	200.0	UO:0000022
DRON:00039191	CHEBI:6128	50.0	UO:0000022
DRON:00039192	CHEBI:7476	125.0	UO:0000022
DRON:00039193	CHEBI:40279	200.0	UO:0000022
DRON:00039194	CHEBI:23359	1.0	UO:0000022
DRON:00039195	CHEBI:8412	125.0	UO:0000022
DRON:00039196	CHEBI:8448	2.5	UO:0000022
DRON:00039197	CHEBI:26948	2.0	UO:0000022
DRON:00039198	CHEBI:26948	250.0	UO:0000022
DRON:00039199	CHEBI:26948	100.0	UO:0000022
DRON:00039200	CHEBI:26948	400.0	UO:0000022
DRON:00039202	CHEBI:26948	250.0	UO:0000022
DRON:00039203	CHEBI:17015	4.0	UO:0000022
DRON:00039205	CHEBI:17015	200.0	UO:0000022
DRON:00039206	CHEBI:17015	250.0	UO:0000022
DRON:00039207	CHEBI:15940	250.0	UO:0000022
DRON:00039208	CHEBI:15940	10.0	UO:0000022
DRON:00039209	CHEBI:15940	475.0	UO:0000022
DRON:00039211	CHEBI:17154	250.0	UO:0000022
DRON:00039212	CHEBI:17154	1000.0	UO:0000022
DRON:00039213	CHEBI:17154	500.0	UO:0000022
DRON:00039214	CHEBI:7916	50.0	UO:0000022
DRON:00039215	CHEBI:7916	300.0	UO:0000022
DRON:00039216	CHEBI:7916	300.0	UO:0000022
DRON:00039217	CHEBI:27306	0.5	UO:0000022
DRON:00039218	CHEBI:27306	3.0	UO:0000022
DRON:00039219	CHEBI:27306	3.5	UO:0000022
DRON:00039220	CHEBI:27306	8.3	UO:0000022
DRON:00039221	CHEBI:27306	8.3	UO:0000022
DRON:00039222	CHEBI:27306	17.0	UO:0000022
DRON:00039223	CHEBI:27306	100.0	UO:0000022
DRON:00039224	CHEBI:27306	250.0	UO:0000022
DRON:00039225	CHEBI:27306	400.0	UO:0000022
DRON:00039226	CHEBI:15956	0.5	UO:0000022
DRON:00039227	CHEBI:15956	0.005	UO:0000022
DRON:00039228	CHEBI:15956	0.1	UO:0000022
DRON:00039229	CHEBI:15956	0.25	UO:0000022
DRON:00039230	CHEBI:15956	1.0	UO:0000022
DRON:00039231	CHEBI:22652	150.0	UO:0000022
DRON:00039232	CHEBI:22652	1000.0	UO:0000022
DRON:00039233	CHEBI:22652	200.0	UO:0000022
DRON:00039234	CHEBI:22652	350.0	UO:0000022
DRON:00039235	CHEBI:22652	5.0	UO:0000022
DRON:00039236	CHEBI:22652	10.0	UO:0000022
DRON:00039237	CHEBI:22652	150.0	UO:0000022
DRON:00039238	CHEBI:22652	167.0	UO:0000022
DRON:00039239	CHEBI:22652	600.0	UO:0000022
DRON:00039240	CHEBI:22652	750.0	UO:0000022
DRON:00039241	CHEBI:22652	1800.0	UO:0000022
DRON:00039242	CHEBI:22652	30.0	UO:0000022
DRON:00039243	CHEBI:22652	125.0	UO:0000022
DRON:00039245	CHEBI:22652	200.0	UO:0000022
DRON:00039248	DRON:00017955	600.0	UO:0000022
DRON:00039249	DRON:00017955	750.0	UO:0000022
DRON:00039250	DRON:00017955	1000.0	UO:0000022
DRON:00039284	CHEBI:3311	875.0	UO:0000022
DRON:00039285	CHEBI:3311	1880.0	UO:0000022
DRON:00039286	CHEBI:190513	700.0	UO:0000022
DRON:00039287	CHEBI:190513	1670.0	UO:0000022
DRON:00039290	CHEBI:24859	0.3	UO:0000022
DRON:00039291	CHEBI:24859	0.4	UO:0000022
DRON:00039292	CHEBI:24859	0.5	UO:0000022
DRON:00039293	CHEBI:24859	3.0	UO:0000022
DRON:00039294	DRON:00015650	250.0	UO:0000022
DRON:00039296	CHEBI:86364	5.0	UO:0000022
DRON:00039298	CHEBI:26710	450.0	UO:0000022
DRON:00039299	CHEBI:29708	200.0	UO:0000022
DRON:00039300	CHEBI:29708	2.5	UO:0000022
DRON:00039301	CHEBI:29708	50.0	UO:0000022
DRON:00039302	CHEBI:29708	50.0	UO:0000022
DRON:00039305	CHEBI:28741	20.0	UO:0000022
DRON:00039306	CHEBI:16811	250.0	UO:0000022
DRON:00039307	CHEBI:15354	400.0	UO:0000022
DRON:00039308	CHEBI:15354	400.0	UO:0000022
DRON:00039309	CHEBI:24848	400.0	UO:0000022
DRON:00039310	CHEBI:17439	0.001	UO:0000022
DRON:00039311	CHEBI:17439	0.002	UO:0000022
DRON:00039312	CHEBI:17439	0.005	UO:0000022
DRON:00039313	CHEBI:17439	0.01	UO:0000022
DRON:00039314	CHEBI:17439	0.03	UO:0000022
DRON:00039315	CHEBI:17439	0.1	UO:0000022
DRON:00039316	CHEBI:17439	0.25	UO:0000022
DRON:00039317	CHEBI:17439	1.0	UO:0000022
DRON:00039318	CHEBI:17439	1.2	UO:0000022
DRON:00039319	CHEBI:17439	0.003	UO:0000022
DRON:00039320	DRON:00016575	250.0	UO:0000022
DRON:00039321	CHEBI:27470	0.8	UO:0000022
DRON:00039322	CHEBI:27470	25.0	UO:0000022
DRON:00039323	CHEBI:75832	45.0	UO:0000022
DRON:00039324	CHEBI:75832	105.0	UO:0000022
DRON:00039326	CHEBI:31608	430.0	UO:0000022
DRON:00039327	CHEBI:31608	135.0	UO:0000022
DRON:00039328	CHEBI:31608	430.0	UO:0000022
DRON:00039329	CHEBI:31607	55.0	UO:0000022
DRON:00039330	CHEBI:31607	55.0	UO:0000022
DRON:00039332	CHEBI:22652	500.0	UO:0000022
DRON:00039332	CHEBI:75832	105.0	UO:0000022
DRON:00039410	CHEBI:10093	2.0	UO:0000022
DRON:00039411	CHEBI:10093	6.0	UO:0000022
DRON:00039412	DRON:00018283	50.0	UO:0000022
DRON:00039413	DRON:00018283	225.0	UO:0000022
DRON:00039414	DRON:00018283	250.0	UO:0000022
DRON:00039415	CHEBI:77788	400.0	UO:0000022
DRON:00039416	CHEBI:77788	600.0	UO:0000022
DRON:00039417	CHEBI:31608	345.0	UO:0000022
DRON:00039420	CHEBI:8687	50.0	UO:0000022
DRON:00039421	CHEBI:2379	200.0	UO:0000022
DRON:00039422	DRON:00011382	10.0	UO:0000022
DRON:00039423	DRON:00011382	25.0	UO:0000022
DRON:00039428	CHEBI:24848	0.324	UO:0000022
DRON:00039436	CHEBI:27306	50.0	UO:0000022
DRON:00039437	DRON:00018329	180.0	UO:0000022
DRON:00039440	CHEBI:15354	65.0	UO:0000022
DRON:00039442	CHEBI:22652	180.0	UO:0000022
DRON:00039442	CHEBI:8104	75.0	UO:0000022
DRON:00039444	CHEBI:8104	50.0	UO:0000022
DRON:00039448	CHEBI:51210	200.0	UO:0000022
DRON:00039451	CHEBI:27902	125.0	UO:0000022
DRON:00039451	CHEBI:28368	125.0	UO:0000022
DRON:00039453	CHEBI:6909	500.0	UO:0000022
DRON:00039454	CHEBI:45924	90.0	UO:0000022
DRON:00039454	CHEBI:9328	410.0	UO:0000022
DRON:00039457	CHEBI:135446	5.0	UO:0000022
DRON:00039459	CHEBI:8397	60.0	UO:0000022
DRON:00039460	CHEBI:134760	20.0	UO:0000022
DRON:00039460	CHEBI:3611	5.0	UO:0000022
DRON:00039461	DRON:00015071	80.0	UO:0000022
DRON:00039462	DRON:00012675	100.0	UO:0000022
DRON:00039463	CHEBI:34665	10.0	UO:0000022
DRON:00039464	CHEBI:2524	5.0	UO:0000022
DRON:00039465	CHEBI:5778	25.0	UO:0000022
DRON:00039465	CHEBI:8214	10.0	UO:0000022
DRON:00039466	CHEBI:5778	50.0	UO:0000022
DRON:00039466	CHEBI:8214	10.0	UO:0000022
DRON:00039467	CHEBI:24848	500.0	UO:0000022
DRON:00039468	CHEBI:24848	500.0	UO:0000022
DRON:00039469	CHEBI:135616	20.0	UO:0000022
DRON:00039473	CHEBI:149226	2.5	UO:0000022
DRON:00039476	CHEBI:32026	200.0	UO:0000022
DRON:00039476	CHEBI:3682	25.0	UO:0000022
DRON:00039478	CHEBI:135811	50.0	UO:0000022
DRON:00039479	DRON:00016028	100.0	UO:0000022
DRON:00039482	CHEBI:5747	0.3	UO:0000022
DRON:00039482	CHEBI:8069	15.0	UO:0000022
DRON:00039483	CHEBI:45951	1.0	UO:0000022
DRON:00039483	CHEBI:6043	5.0	UO:0000022
DRON:00039484	CHEBI:45951	2.0	UO:0000022
DRON:00039484	CHEBI:6043	5.0	UO:0000022
DRON:00039485	CHEBI:45951	2.0	UO:0000022
DRON:00039485	CHEBI:6043	7.5	UO:0000022
DRON:00039486	CHEBI:45951	2.0	UO:0000022
DRON:00039486	CHEBI:6043	10.0	UO:0000022
DRON:00039487	CHEBI:15940	50.0	UO:0000022
DRON:00039487	CHEBI:6709	12.5	UO:0000022
DRON:00039488	DRON:00012598	12.5	UO:0000022
DRON:00039489	DRON:00012598	25.0	UO:0000022
DRON:00039490	CHEBI:23614	100.0	UO:0000022
DRON:00039490	DRON:00018286	50.0	UO:0000022
DRON:00039492	CHEBI:135556	7.5	UO:0000022
DRON:00039493	CHEBI:6838	2.0	UO:0000022
DRON:00039494	CHEBI:6838	5.0	UO:0000022
DRON:00039495	CHEBI:6838	50.0	UO:0000022
DRON:00039501	CHEBI:5121	0.5	UO:0000022
DRON:00039502	CHEBI:5121	3.0	UO:0000022
DRON:00039505	CHEBI:134884	100.0	UO:0000022
DRON:00039506	CHEBI:48723	2.0	UO:0000022
DRON:00039509	CHEBI:31612	200.0	UO:0000022
DRON:00039510	CHEBI:31612	400.0	UO:0000022
DRON:00039511	CHEBI:61203	25.0	UO:0000022
DRON:00039512	CHEBI:15365	300.0	UO:0000022
DRON:00039512	CHEBI:6888	1.5	UO:0000022
DRON:00039513	CHEBI:48574	100.0	UO:0000022
DRON:00039513	CHEBI:94398	200.0	UO:0000022
DRON:00039514	CHEBI:50212	0.5	UO:0000022
DRON:00039515	CHEBI:50212	1.0	UO:0000022
DRON:00039516	CHEBI:6758	90.0	UO:0000022
DRON:00039516	CHEBI:8107	60.0	UO:0000022
DRON:00039517	CHEBI:46195	325.0	UO:0000022
DRON:00039517	CHEBI:6832	400.0	UO:0000022
DRON:00039518	CHEBI:31186	2.5E-4	UO:0000022
DRON:00039522	DRON:00018566	300.0	UO:0000022
DRON:00039523	DRON:00018566	400.0	UO:0000022
DRON:00039526	DRON:00010763	275.0	UO:0000022
DRON:00039527	CHEBI:53766	1.0	UO:0000022
DRON:00039528	CHEBI:53766	4.0	UO:0000022
DRON:00039530	CHEBI:15365	330.0	UO:0000022
DRON:00039530	CHEBI:4653	75.0	UO:0000022
DRON:00039545	CHEBI:24848	150.0	UO:0000022
DRON:00039548	CHEBI:50199	400.0	UO:0000022
DRON:00039552	CHEBI:135493	100.0	UO:0000022
DRON:00039553	CHEBI:135493	50.0	UO:0000022
DRON:00039557	CHEBI:28915	500.0	UO:0000022
DRON:00039559	CHEBI:135136	200.0	UO:0000022
DRON:00039562	CHEBI:32215	250.0	UO:0000022
DRON:00039564	CHEBI:45924	80.0	UO:0000022
DRON:00039564	CHEBI:55548	400.0	UO:0000022
DRON:00039566	DRON:00016671	2.0	UO:0000022
DRON:00039567	DRON:00016671	5.0	UO:0000022
DRON:00039568	CHEBI:31790	0.5	UO:0000022
DRON:00039569	CHEBI:31189	5.0	UO:0000022
DRON:00039570	CHEBI:94434	50.0	UO:0000022
DRON:00039572	CHEBI:6123	20.0	UO:0000022
DRON:00039573	CHEBI:134779	15.0	UO:0000022
DRON:00039575	CHEBI:34559	200.0	UO:0000022
DRON:00039576	DRON:00014565	300.0	UO:0000022
DRON:00039577	DRON:00014565	600.0	UO:0000022
DRON:00039579	CHEBI:91817	100.0	UO:0000022
DRON:00039580	CHEBI:91817	200.0	UO:0000022
DRON:00039581	CHEBI:135183	12.0	UO:0000022
DRON:00039582	CHEBI:135183	4.0	UO:0000022
DRON:00039583	DRON:00010457	25.0	UO:0000022
DRON:00039585	CHEBI:92511	1.0	UO:0000022
DRON:00039588	CHEBI:93837	30.0	UO:0000022
DRON:00039590	CHEBI:135602	75.0	UO:0000022
DRON:00039591	CHEBI:135602	75.0	UO:0000022
DRON:00039594	CHEBI:135590	30.0	UO:0000022
DRON:00039597	CHEBI:174690	0.02	UO:0000022
DRON:00039599	DRON:00013060	1.0	UO:0000022
DRON:00039600	DRON:00013060	2.0	UO:0000022
DRON:00039604	DRON:00018211	5.0	UO:0000022
DRON:00039605	DRON:00015626	15.0	UO:0000022
DRON:00039607	CHEBI:135433	5.0	UO:0000022
DRON:00039610	CHEBI:135811	50.0	UO:0000022
DRON:00039614	CHEBI:31403	150.0	UO:0000022
DRON:00039615	CHEBI:31403	75.0	UO:0000022
DRON:00039616	CHEBI:17224	400.0	UO:0000022
DRON:00039617	CHEBI:9144	70.0	UO:0000022
DRON:00039618	CHEBI:135180	200.0	UO:0000022
DRON:00039619	CHEBI:135180	400.0	UO:0000022
DRON:00039621	CHEBI:135180	200.0	UO:0000022
DRON:00039623	CHEBI:31413	20.0	UO:0000022
DRON:00039624	CHEBI:135198	25.0	UO:0000022
DRON:00039625	CHEBI:135227	10.0	UO:0000022
DRON:00039626	CHEBI:135227	25.0	UO:0000022
DRON:00039627	CHEBI:135227	50.0	UO:0000022
DRON:00039628	CHEBI:51137	60.0	UO:0000022
DRON:00039629	CHEBI:32168	50.0	UO:0000022
DRON:00039631	CHEBI:135069	30.0	UO:0000022
DRON:00039632	CHEBI:31902	10.0	UO:0000022
DRON:00039633	CHEBI:31902	30.0	UO:0000022
DRON:00039635	CHEBI:135554	200.0	UO:0000022
DRON:00039636	CHEBI:9985	30.0	UO:0000022
DRON:00039637	CHEBI:9985	20.0	UO:0000022
DRON:00039638	CHEBI:88316	60.0	UO:0000022
DRON:00039640	CHEBI:135816	140.0	UO:0000022
DRON:00039641	CHEBI:76119	110.0	UO:0000022
DRON:00039642	CHEBI:76119	220.0	UO:0000022
DRON:00039643	CHEBI:46195	300.0	UO:0000022
DRON:00039643	DRON:00012689	50.0	UO:0000022
DRON:00039653	DRON:00011544	5.0	UO:0000022
DRON:00039655	CHEBI:3699	300.0	UO:0000022
DRON:00039656	CHEBI:3699	400.0	UO:0000022
DRON:00039659	CHEBI:107736	20.0	UO:0000022
DRON:00039662	CHEBI:6775	250.0	UO:0000022
DRON:00039663	CHEBI:135198	50.0	UO:0000022
DRON:00039664	CHEBI:8028	10.0	UO:0000022
DRON:00039666	CHEBI:34706	1.5	UO:0000022
DRON:00039667	CHEBI:34706	4.5	UO:0000022
DRON:00039669	CHEBI:32168	50.0	UO:0000022
DRON:00039669	CHEBI:49575	2.5	UO:0000022
DRON:00039670	CHEBI:6128	150.0	UO:0000022
DRON:00039673	CHEBI:7476	1000.0	UO:0000022
DRON:00039675	CHEBI:7476	100.0	UO:0000022
DRON:00039676	CHEBI:7476	250.0	UO:0000022
DRON:00039678	CHEBI:8249	20.0	UO:0000022
DRON:00039679	CHEBI:8249	40.0	UO:0000022
DRON:00039688	CHEBI:5120	2.5	UO:0000022
DRON:00039689	CHEBI:6784	0.1	UO:0000022
DRON:00039689	CHEBI:7627	0.5	UO:0000022
DRON:00039691	CHEBI:31468	0.25	UO:0000022
DRON:00039693	CHEBI:101278	180.0	UO:0000022
DRON:00039694	CHEBI:7565	20.0	UO:0000022
DRON:00039695	CHEBI:28593	250.0	UO:0000022
DRON:00039697	CHEBI:6123	40.0	UO:0000022
DRON:00039698	CHEBI:5778	12.5	UO:0000022
DRON:00039698	CHEBI:6904	100.0	UO:0000022
DRON:00039704	CHEBI:2896	10.0	UO:0000022
DRON:00039704	CHEBI:51209	240.0	UO:0000022
DRON:00039707	CHEBI:28177	500.0	UO:0000022
DRON:00039708	CHEBI:2676	1000.0	UO:0000022
DRON:00039710	CHEBI:28971	250.0	UO:0000022
DRON:00039711	CHEBI:28971	500.0	UO:0000022
DRON:00039712	CHEBI:28971	1000.0	UO:0000022
DRON:00039714	CHEBI:3547	1000.0	UO:0000022
DRON:00039715	CHEBI:27701	500.0	UO:0000022
DRON:00039716	CHEBI:27902	50.0	UO:0000022
DRON:00039717	CHEBI:100241	250.0	UO:0000022
DRON:00039723	CHEBI:45267	150.0	UO:0000022
DRON:00039727	CHEBI:8107	30.0	UO:0000022
DRON:00039728	CHEBI:3112	4.0	UO:0000022
DRON:00039729	CHEBI:18067	10.0	UO:0000022
DRON:00039732	DRON:00012636	250.0	UO:0000022
DRON:00039734	CHEBI:75832	152.0	UO:0000022
DRON:00039741	CHEBI:18358	10.0	UO:0000022
DRON:00039743	CHEBI:50868	300.0	UO:0000022
DRON:00039745	CHEBI:27446	650.0	UO:0000022
DRON:00039749	CHEBI:2676	500.0	UO:0000022
DRON:00039749	CHEBI:77032	8.0	UO:0000022
DRON:00039752	CHEBI:28971	250.0	UO:0000022
DRON:00039752	CHEBI:4511	125.0	UO:0000022
DRON:00039753	CHEBI:28971	250.0	UO:0000022
DRON:00039753	CHEBI:77032	8.0	UO:0000022
DRON:00039754	CHEBI:28971	500.0	UO:0000022
DRON:00039754	CHEBI:77032	8.0	UO:0000022
DRON:00039757	CHEBI:48923	500.0	UO:0000022
DRON:00039757	CHEBI:77032	8.0	UO:0000022
DRON:00039758	CHEBI:27644	50.0	UO:0000022
DRON:00039759	CHEBI:27644	250.0	UO:0000022
DRON:00039760	CHEBI:100241	500.0	UO:0000022
DRON:00039761	CHEBI:28077	150.0	UO:0000022
DRON:00039761	CHEBI:6030	200.0	UO:0000022
DRON:00039762	CHEBI:28077	150.0	UO:0000022
DRON:00039762	CHEBI:45285	400.0	UO:0000022
DRON:00039762	CHEBI:6030	75.0	UO:0000022
DRON:00039764	CHEBI:9336	200.0	UO:0000022
DRON:00039765	CHEBI:140628	500.0	UO:0000022
DRON:00039768	CHEBI:5950	200.0	UO:0000022
DRON:00039768	CHEBI:6909	400.0	UO:0000022
DRON:00039769	CHEBI:16794	10.0	UO:0000022
DRON:00039769	CHEBI:6909	500.0	UO:0000022
DRON:00039771	CHEBI:28077	300.0	UO:0000022
DRON:00039771	CHEBI:45924	80.0	UO:0000022
DRON:00039772	CHEBI:135619	2.5	UO:0000022
DRON:00039773	CHEBI:135619	5.0	UO:0000022
DRON:00039777	CHEBI:5441	2.5	UO:0000022
DRON:00039777	CHEBI:8064	25.0	UO:0000022
DRON:00039778	CHEBI:48549	200.0	UO:0000022
DRON:00039779	CHEBI:101278	120.0	UO:0000022
DRON:00039780	CHEBI:34772	50.0	UO:0000022
DRON:00039781	CHEBI:7575	10.0	UO:0000022
DRON:00039782	CHEBI:47426	20.0	UO:0000022
DRON:00039782	CHEBI:9241	50.0	UO:0000022
DRON:00039783	CHEBI:6909	500.0	UO:0000022
DRON:00039784	DRON:00014565	150.0	UO:0000022
DRON:00039785	CHEBI:4470	30.0	UO:0000022
DRON:00039795	CHEBI:27902	250.0	UO:0000022
DRON:00039795	CHEBI:5551	100.0	UO:0000022
DRON:00039796	CHEBI:135692	500.0	UO:0000022
DRON:00039800	CHEBI:32162	200.0	UO:0000022
DRON:00039800	CHEBI:45924	250.0	UO:0000022
DRON:00039802	CHEBI:45924	80.0	UO:0000022
DRON:00039802	CHEBI:88258	400.0	UO:0000022
DRON:00039805	CHEBI:135652	5.0	UO:0000022
DRON:00039806	CHEBI:135652	10.0	UO:0000022
DRON:00039807	CHEBI:3183	6.0	UO:0000022
DRON:00039807	CHEBI:51209	120.0	UO:0000022
DRON:00039809	CHEBI:4728	200.0	UO:0000022
DRON:00039809	CHEBI:5551	100.0	UO:0000022
DRON:00039810	DRON:00010169	500.0	UO:0000022
DRON:00039812	CHEBI:8069	100.0	UO:0000022
DRON:00039812	DRON:00017024	0.07	UO:0000022
DRON:00039813	DRON:00016481	400.0	UO:0000022
DRON:00039814	CHEBI:7953	20.0	UO:0000022
DRON:00039815	CHEBI:9985	10.0	UO:0000022
DRON:00039816	CHEBI:15365	500.0	UO:0000022
DRON:00039817	CHEBI:15365	100.0	UO:0000022
DRON:00039819	CHEBI:46195	300.0	UO:0000022
DRON:00039819	CHEBI:7476	250.0	UO:0000022
DRON:00039823	CHEBI:7582	10.0	UO:0000022
DRON:00039824	CHEBI:3216	0.2	UO:0000022
